wav	words	duration
clipping-306514b0-d498-41ff-b6ef-333cc36045d8.wav	النار سمعت واحد قال لصاحبه رخص يكون عندنا شويه التراب	5.934172335600908
1ddb113f-bbbd-426b-be1f-0e0be670ae4d.wav	مرام راكان اسمع والدلائل شيء واحد	4.704580498866213
time_dropout-1e3fcef4-25ec-4548-8075-7868e5b307bb.wav	ممكن نكون جاي في الطريق	3.2783900226757368
frequency_dropout-ea8b3804-0015-4955-b07e-7c4dfae733d3.wav	احطه قدام الباب	2.7124036281179142
speed_perturbation-8bd5d18b-6f0b-42aa-8ed4-6b303d39aeb3.wav	يدك الزخمات اللي طلبنا منك بطاريه	3.9024263038548734
frequency_dropout-49a99c87-b7f8-484f-9a24-55ba25fd21ec.wav	طبيعه العلاقات في الحبس اكسسوار صاحبها	5.208548752834466
time_dropout-9a4b90a0-7a8f-426d-967c-f275cd5cda2f.wav	نروح ذا اللي حضرت لي هو	3.1622902494331067
frequency_dropout-533a9ff6-7059-437b-860f-ee0d19fed7a0.wav	وانا مؤخرا	3.087666666666667
frequency_dropout-cbde2674-5f29-4c43-b0e1-eda710fd8ec6.wav	بس قدرت للسمنه غير واحد شويه للرياض	4.758662131519276
clipping-1043c7ec-c38f-4366-a8fb-7754cf16eca2.wav	يعني انك تحمي	2.8139909297052155
speed_perturbation-19c3de6c-f976-403c-b208-fcd42b715f4a.wav	خيبه و انا في حاله من ستيرونات ما عندهم	6.74687074829932
time_dropout-593f6216-b8ba-4e56-bfea-32184201d4a5.wav	تلاتة او عشرين	1.4
time_dropout-53819068-f893-4686-a787-dd0746d1f187.wav	بلانكس ويكون مخدوم من قاعد جوايا	4.628049886621316
86fffbde-f3ae-42c5-b87d-491e723f9315.wav	ويلي	2.248004535147392
frequency_dropout-40418931-8275-4dce-a6ee-6b4f164108ca.wav	لقط رابط	2.8575283446712016
time_dropout-1043c7ec-c38f-4366-a8fb-7754cf16eca2.wav	يعني انك تحمي	2.8139909297052155
frequency_dropout-cc377ad2-d0d5-4def-b2da-5cdf2187a3e6.wav	اغنيه المقطع هذا الواحد نعرف بدنا نعرف لكليب كان وتشربوا بعد بعد	7.217666666666666
time_dropout-3235b9d5-c43d-412e-ad14-4f5fcd29afc9.wav	من ذاك النار ولا عنده زوج	4.381337868480726
frequency_dropout-4fd33aaf-fa16-410f-984f-2d8e68a5a9b6.wav	كل حسب اخواتك يخرج من كل تقابلو كوردي	4.918299319727892
8cab9d0f-8a52-41ad-8fa5-397b206c184c.wav	كل واحد	2.567278911564626
time_dropout-31c0abe5-3b0b-4514-8c89-ec11731072a0.wav	عجبني لون هدا الطبلة	1.9
clipping-7d483d46-9acd-4577-be67-83b4891bdbc7.wav	بقوه	3.2348526077097506
7cfc17c6-1e5c-44da-9242-693201402ffb.wav	فلوس ورق حائط	2.8430158730158728
frequency_dropout-a2cde460-caee-4a50-8c2a-482f6cebc4bd.wav	نغير فلاحه	2.930090702947846
time_dropout-c1fe6c9b-3a9f-46be-81b5-151ceea6d40e.wav	مليش في القيامه اللي ينط عليه	3.7137641723356007
clipping-83d23e6f-3b9f-4227-8dc3-e2f3b071cda3.wav	هي فدارها	1.0
speed_perturbation-5c9d4122-fe33-4bc6-84aa-03a5620e702d.wav	زوجي من شحال هادي	3.0897278911564627
5130e73e-9987-40dd-81ad-c76b012cb8a6.wav	الفواكه يشوفوا اعدام قدامهم	4.149138321995465
augmentation_lobe-3282d49a-1cbd-4558-b3f7-312b26e28373.wav	ابعد الناس بجيب بيلفورت	3.7137641723356007
speed_perturbation-6bfaada4-fe5b-4cd6-9062-19a336923948.wav	سويعه ونخرج اطروحه	2.988140589569161
frequency_dropout-4397d454-d28d-434f-a947-b423b1337552.wav	لكن اغلب العمال قديما وبسبب تدخل جيش بحماره	5.223061224489796
clipping-0fca3785-f382-446e-9bd9-b78bd7f9a224.wav	بلو كامل ساكت	3.5251020408163267
9598d383-a711-4fd7-8df0-c110e5b2e7c4.wav	المذهب الكاثوليكي	2.930090702947846
660da814-88b0-49f9-8a5d-0a86ec1455d5.wav	واو واو	4.875666666666667
augmentation_lobe-cbde2674-5f29-4c43-b0e1-eda710fd8ec6.wav	بس قدرت للسمنه غير واحد شويه للرياض	4.758662131519276
speed_perturbation-6637c10c-986a-4d16-a028-cc49a9cfdd79.wav	شكرا بزاف	1.3
speed_perturbation-18b72e06-4231-4615-a64b-31cdedd2221a.wav	مكياج خفيف	2.2915419501133787
frequency_dropout-5c939299-2c42-44e5-aa5f-7a0447f6c9ef.wav	معرفتش علاش فاضل لحظه	3.568639455782313
clipping-2322dd96-e530-4e4a-8ba9-062d133d143e.wav	ايش قلت لي لا تقبل اللي في الحائط	3.974988662131519
augmentation_lobe-96d86d5f-5b43-4a1e-9327-11c427ad14c5.wav	القائد الفصل ما بيناتهم	3.699251700680272
clipping-b0d885b7-21f1-4377-b6ed-94e1cd712e5b.wav	بالعلالي	3.0752154195011334
speed_perturbation-14580c9b-c2bc-4630-a14a-92880a92142d.wav	تاريخ اللوحه تحت صندوق التنميه	4.009954648526077
bb7a423b-57df-4ac0-a412-96337a86fc54.wav	الدكتور من عشر سنين	3.6121768707483
time_dropout-ff82d5ea-4e57-487b-b401-7f1191faf902.wav	بس اقسم بالله	3.0316780045351472
2d3c75b1-cbb0-45be-a455-38251cf9a6d7.wav	شيله جود انت لحد القادوس	3.6121768707483
time_dropout-37e28519-13cc-4964-9464-4ceccd60d992.wav	يوم هشام	3.167666666666667
augmentation_lobe-74f91a56-f769-4bc4-a3a7-f1f0288ab814.wav	العضو الذكري	2.8586666666666667
time_dropout-29896d7b-76c6-4511-aa76-06384ccbec89.wav	سالمه	3.1332653061224485
clipping-2df4a3b9-a3b3-4418-9d38-de596fb16379.wav	اللي في اليسار الكتاب اللي كاتبه	5.106961451247166
speed_perturbation-910eb1cd-8916-4ee7-bb2a-041102e0f6bc.wav	مشمش	0.8
f419622e-8ac6-49f1-8e8f-b27f4265f6f5.wav	شوف لندن للاعمال الشقه العشق النائي في ترميم القصر دياله	4.874761904761905
time_dropout-9689d339-1b0e-4173-9b32-0980ee34b173.wav	وخلي انت صرتي لو ما احكي لهم شيء من المغرب	3.931451247165533
clipping-fd888731-db8d-4690-ae4e-c37d95032c8c.wav	في براسي غريب	3.1477777777777787
frequency_dropout-5bc43286-c1a7-4951-a447-a53521d8b780.wav	تاريخ المقاومه المسلحه حول العالم	4.018526077097507
time_dropout-3e846919-6a74-4712-8bb6-46614e1e1d0e.wav	نفصل سيف بلس الموت بدونك يقولون انهم وسلسله جالس اشوفهم هو اللي هيكسب سيقول حيوانات	10.021666666666668
691ba05d-07c7-4b9d-8a99-8323e017d5d4.wav	في واحد اعرف سباب علاجات للمريض	3.945963718820861
clipping-1f6978ae-aa2a-419f-96a0-307e0d6e2325.wav	مرفوعين	2.8865532879818594
time_dropout-1eb42000-89ec-4389-ab8a-d8e85544f926.wav	جريمه قتل طفلين	6.975666666666666
73ed499c-c1da-445a-aa22-5db6b8ee77cf.wav	الساروت عافاك	1.5
clipping-93b29899-7f79-4fad-b93f-67fb5d2f55ee.wav	غادية طيح الشتا	1.2
time_dropout-c97fcd82-445f-4c9a-bafc-53d4958306de.wav	هيفاء وهبي	3.423666666666666
time_dropout-9e94299c-1283-4279-978e-8bb4060d26a6.wav	كله	2.7016666666666667
time_dropout-fe872e9a-47b2-44fb-b56c-521499993eb9.wav	ليلك لابد يكون في الساحه	3.858888888888889
speed_perturbation-1593e59f-66b0-40d2-9c56-917b74146955.wav	مش قد مسكينه تعبت ليزر عيون ويدرون نفسي كردي	7.492698412698412
a877fc67-28cc-40f4-b280-74663443d28d.wav	ايش يقول لك	2.6207256235827665
speed_perturbation-c1e03969-fb70-403f-9cce-3f3ee50d7bce.wav	موقع نمشي مشكله	5.20469387755102
augmentation_lobe-ea895dfe-b40b-4422-9fcb-1da20cadd76c.wav	بالليل عسكر قديم توقفون قدام الطبيب للحبس	6.02124716553288
speed_perturbation-bb0932ba-295d-491e-8e3d-e19de2523ab5.wav	بلخضرة	0.8
time_dropout-b09e72ae-882f-4e70-a160-07fd381539b8.wav	اخرجوا برا	2.8575283446712016
augmentation_lobe-26422a5e-173a-4802-9211-2570251af7e5.wav	ام الاسره الاخرين	3.060702947845805
augmentation_lobe-dfdfed73-97fc-461a-80a2-1cc74759bad5.wav	شاهد بلس	2.6543537414965988
augmentation_lobe-ca1c22ef-e213-481a-bf40-ac76ae749f3a.wav	تاكسي والقضيه الفلسطينيه في الثمانينات	6.879666666666667
frequency_dropout-5521f91b-5435-44ef-ab92-ce6364c1acc0.wav	المريض يقول قدام الناس	3.568639455782313
augmentation_lobe-b8b23da9-cf3e-42dc-8eb3-fe32649b0560.wav	فنان مغربي	3.2046666666666668
abd8481c-ef6a-4670-a000-1b1243d96585.wav	نيلسون مانديلا	3.1477777777777787
5f7fd114-4769-452e-b197-186e1d837c86.wav	ملك الطرب	4.468412698412698
augmentation_lobe-de8c82f1-2b55-4d11-86bb-54ca01f3e57c.wav	قد يكون معك سيرجو والعساكر	4.241496598639456
frequency_dropout-e919ae9f-6596-4107-9a1b-2a879bc45629.wav	خلاص قدام الباب الثاني	4.004013605442177
augmentation_lobe-647dcebb-0f6f-4140-9fd2-ee4babd8e855.wav	رمضان كريم عليكم	3.4525396825396824
augmentation_lobe-3c3a0436-9a51-4ae5-8e5c-c27bb057ca97.wav	قبولي لحم بس قرطاسه لعند الظهر	4.482925170068027
augmentation_lobe-f8f50dcb-4790-4079-98a1-a9ad3ae8845b.wav	علاج	2.9446031746031744
speed_perturbation-80088888-598f-405b-9a62-9517b1eeb7fa.wav	انت اللي ما تعرف خدمتك	3.496077097505669
augmentation_lobe-f4443dc5-824e-4134-b180-5535edfc850f.wav	كل واحد يوم عنده طويله مقدمه من عند شجر الرمان او السفرجل	5.29562358276644
augmentation_lobe-07ebd17d-e88a-4265-965e-2a40ec36a701.wav	سوق	2.3386666666666667
augmentation_lobe-8b8a4329-9d01-4bf8-99eb-0dfb9f87c9b7.wav	شكرا	0.7
frequency_dropout-593125a2-a8c9-4318-baa3-bae198618a5b.wav	باغي ننشط	1.2
clipping-cfde573e-edc3-4df4-ade8-a69daf61615f.wav	بس قسما العصر لقيت قدام فراس الفرقدين	5.266598639455784
18f68337-27fd-4839-abbb-4253df1d3b5f.wav	احنا نقول فنجان من مستحبات جردانو تنزيل فوتو تخيط	7.3146666666666675
speed_perturbation-34383144-ddc5-4777-b88a-98aa8dc18556.wav	باغية ننشط	1.1
frequency_dropout-40f1a9ba-6f94-4b66-be70-314f699c5859.wav	رمادي	0.8
speed_perturbation-cef6c268-893a-44dc-bc9f-7a9f9b9276c3.wav	صوبه من خشب او سلك	3.3509523809523816
clipping-5b4109da-fc77-4ea1-86c4-855bdcfde40c.wav	السلام	0.6
frequency_dropout-578fa4b6-1579-4b89-a742-dfe6a95c5d9f.wav	كريم ضد الشمس	1.2
